is_late_delivery,order_id,product_id,customer_id,customer_segment,sales,quantity,profit,shipping_mode,market,lead_time,order_processing_days,avg_order_value_30d,num_orders_30d,avg_lead_time_by_mode,late_delivery_rate_by_mode,is_high_value,is_bulk_order,is_profitable,profit_margin,day_of_week,month,quarter,year,feature_extraction_date,order_date,shipment_date,avg_shipping_cost,avg_defect_rate,max_defect_rate,department,class
0,57963,365,2,Consumer,119.9800034,2,40.34000015,Standard Class,LATAM,10,4,119.9800034,1,10.0,0.2,0,0,1,0.336,4,4,2,2017,2026-05-15,2017-04-26,2017-04-30,0.0,0.0,0.0,Apparel,High Value-Small Number
0,57963,627,2,Consumer,199.9499969,5,48.70999908,Standard Class,LATAM,10,4,159.96500015,2,10.0,0.2,0,0,1,0.244,4,4,2,2017,2026-05-15,2017-04-26,2017-04-30,0.0,0.0,0.0,Golf,Small Value-Large Number
0,57963,1014,2,Consumer,99.95999908,2,22.67000008,Standard Class,LATAM,10,4,139.96333312666667,3,10.0,0.2,0,0,1,0.227,4,4,2,2017,2026-05-15,2017-04-26,2017-04-30,0.0,0.0,0.0,Fan Shop,Small Value-Large Number
0,57963,1073,2,Consumer,199.9900055,1,87.36000061,Standard Class,LATAM,10,4,154.97000122,4,10.0,0.2,0,0,1,0.437,4,4,2,2017,2026-05-15,2017-04-26,2017-04-30,0.0,0.0,0.0,Fan Shop,Moderate Value-Moderate Number
0,67863,1004,2,Consumer,399.980011,1,3.519999981,Standard Class,Europe,10,4,203.972003176,5,10.0,0.4,1,0,1,0.009,1,9,3,2017,2026-05-15,2017-09-17,2017-09-21,0.0,0.0,0.0,Fan Shop,High Value-Small Number
0,57617,365,3,Consumer,239.9600067,4,117.5800018,Same Day,LATAM,10,0,239.9600067,1,10.0,0.06666666666666667,0,0,1,0.49,6,4,2,2017,2026-05-15,2017-04-21,2017-04-21,0.0,0.0,0.0,Apparel,High Value-Small Number
0,57617,1014,3,Consumer,99.95999908,2,46.50999832,Same Day,LATAM,10,0,169.96000289,2,10.0,0.06666666666666667,0,0,1,0.465,6,4,2,2017,2026-05-15,2017-04-21,2017-04-21,0.0,0.0,0.0,Fan Shop,Small Value-Large Number
0,57617,1073,3,Consumer,199.9900055,1,11.39999962,Same Day,LATAM,10,0,179.97000375999997,3,10.0,0.06666666666666667,0,0,1,0.057,6,4,2,2017,2026-05-15,2017-04-21,2017-04-21,0.0,0.0,0.0,Fan Shop,Moderate Value-Moderate Number
0,61453,403,3,Consumer,129.9900055,1,43.15999985,Same Day,LATAM,10,0,167.475004195,4,10.0,0.2,0,0,1,0.332,6,6,2,2017,2026-05-15,2017-06-16,2017-06-16,0.0,0.0,0.0,Apparel,Moderate Value-Moderate Number
0,61453,957,3,Consumer,299.980011,1,2.99000001,Same Day,LATAM,10,0,193.976005556,5,10.0,0.2,0,0,1,0.01,6,6,2,2017,2026-05-15,2017-06-16,2017-06-16,0.0,0.0,0.0,Fan Shop,High Value-Small Number
